Designator,Mid X,Mid Y,Rotation,Layer
D1,229.1875,-81.875,0.0,top
D2,246.75,-98.675,0.0,top
D3,246.97,-90.125,0.0,top
J1,213.1,-61.5,0.0,top
J2,237.955,-61.845,0.0,top
P1,213.605,-77.435,0.0,top
Q1,189.155,-84.75,0.0,top
R1,159.485,-56.6,0.0,top
R2,154.705,-56.7,0.0,top
R3,150.055,-56.75,0.0,top
R4,163.875,-56.7,0.0,top
R5,169.2,-56.7,0.0,top
R6,174.925,-56.7,0.0,top
R7,181.5125,-56.7,0.0,top
R8,189.6625,-56.7,0.0,top
SW1,183.125,-111.325,0.0,top
SW2,230.925,-111.325,0.0,top
SW3,205.4,-111.525,0.0,top
SW4,193.2,-111.45,0.0,top
SW5,217.3,-111.6,0.0,top
U1,153.1625,-117.35,90.0,top
U10,178.69,-81.31,0.0,top
U11,166.19,-77.38,0.0,top
U12,153.69,-76.15,0.0,top
U13,136.72,-68.7,0.0,top
U14,238.3875,-81.525,180.0,top
U15,250.0,-80.55,180.0,top
U2,132.05,-116.845,0.0,top
U3,139.25,-97.995,270.0,top
U4,161.9,-96.19,270.0,top
U5,128.0625,-98.825,270.0,top
U6,182.65,-95.93,270.0,top
U7,150.8125,-97.925,270.0,top
U8,172.0875,-97.45,270.0,top
U9,170.5,-117.8,0.0,top
Y1,196.175,-93.8,90.0,top
Y2,224.625,-93.9175,0.0,top
Y3,198.4,-56.7,0.0,top
